id,time,age,gender,nation,who,education,region,not_kz,played_vg,skills,skills_desc,culture_together,gaming_event,clubs,sleeping_trouble,sick,nation_important,play_only_nation,language_vg,language_communicate,barrier,barrier_desc,barrier_games,prefer_with,prefer_who,type_communication,platform,type_vg,discover_vg,factor_to_play,affect_relationship,affect_wellbeing,closer_teammates,discuss_vg,game_community,game_comunity_name,game_comunity_game,why_games,motivation_continue,for_competition,feel_while_playing,emotions_affect_while_playing,consequences,consequences_p_n,consequences_desc,mental_affect_vg,mental_desc,drained_after,freq_per_week,when_play,time_play,genre_vg,char,char_desc
170,05052023 10:46:07,16-19,Male ,Kazakh,Schoolkid,Basic General (incomplete secondary),Karaganda region,,Yes,Yes,"Реакция, точность",Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,With someone,friends,Voice,PC,Multiplayer,recommendations,reviews,"No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,Улучшает настроение,5,1-5 hours per week,I play games whenever I want,In the evening,Action,Neutral characters,"interesting, motives"
171,05052023 19:02:41,16-19,Female ,Kazakh,Student,Basic General (incomplete secondary),Karaganda region,,Yes,Yes,,Yes,No,Yes,I often have trouble sleeping,"Rarely, once or twice a year",No,No,Russian,English,"No, I can safely play",,,With someone,"Alone, friends",Chat,"PC, Console",Both,Social media,"Graphics, Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals, improve skills, better than others, competition","Yes, I play for the competition","excitement, joy","Can affect my game, lead to mistakes",No,,,Badly,,7,1-5 hours per week,I play games whenever I want,In the evening,"Action, Strategy, Role-playing, Simulation",Kind characters,"interesting, abilities, biography, style"
172,06052023 10:47:15,16-19,Male ,Russian,Student,Average (full) general,Pavlodar region,,Yes,Yes,"Моторика, реакция, критическое мышление",Yes,No,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,Russian,"No, I can safely play",,,Both,"Alone, friends",Voice,PC,Both,"recommendations, Social media","Storyline, personal interest","Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals","No, I play for other purposes","satisfaction, disappointment, stress","Can affect my game, lead to mistakes",No,,,Well,Позволяют направить свои мысли в другое русло и таким образом успокоиться,3,6-10 hours per week,I play games whenever I want,In the evening,"Action, Strategy, Role-playing, Simulation",Neutral characters,"interesting, archetype, style, design"
173,06052023 10:51:44,20-25,Male ,Kazakh,Student,Higher professional education,Abai region,,Yes,Yes,"Logical thinking, context comprehension, cultural and historical info (limited)",Yes,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",there are japanese-exclusive retro games if these count,Japanese retro games ,Both,"Alone, friends",Voice,"PC, Console, Mobile",Both,"recommendations, Social media, gaming websites","Price, game publisher, personal interest","Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,NU GameDev,"LoL, Wild Rift, GameDev(General)","fun, relaxation, friends, achieve","gameplay, new goals, improve skills","No, I play for other purposes","satisfaction, joy",Make the game more interesting,No,Positive,Sometimes frustrating ,Well,"Sometimes I don't sleep but that is more ""me"" problem than ""game"" problem",3,1-5 hours per week,I play games whenever I want,At night,"Action, Puzzle, Strategy, Adventure, Role-playing",Neutral characters,"interesting, motives, archetype, style"
174,06052023 10:59:36,26-35,Female ,Kazakh,Employed,"Second (third, etc) higher",Zhetysu region,,No,Yes,,No,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,06052023 11:02:13,45-50,Female ,Kazakh,Employed,Higher professional education,Pavlodar region,,No,Yes,Разные,Yes,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,06052023 11:08:38,26-35,Female ,Kazakh,Employed,Higher professional education,Almaty region,,No,No,,No,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,06052023 11:10:07,36-44,Female ,Kazakh,Employed,"Second (third, etc) higher",Akmol region,,Yes,Yes,"Внимательность, реакция, логическое мышление",Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play","Сделать если играть с игроками с другой страны, то незнание языка",Не могу ответить,Alone,Alone,,"PC, Mobile",Singleplayer,recommendations,reviews,"No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,,,new goals,"No, I play for other purposes",excitement,Can affect my mood in real life,No,,Стараюсь эмоции в игре не выводить в реальность,Well,,5,Less than 1 hour per week,I play games whenever I want,In the afternoon,Puzzle,Neutral characters,design
178,06052023 11:11:14,36-44,Male ,Russian,Employed,Higher professional education,Almaty region,,Yes,Yes,"В целом развить эрудицию. В частности география, например, играя в FIFA через футбольные команды можно узнать города и страны.",Yes,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,Yes,"Знание иностранных языков, я знаю только русский, английский и немного казахский",В любых сетевых,Alone,Alone,Chat,"PC, Console, Mobile",Both,reviews,"Graphics, personal interest","No, games don't affect our relationship",No effect,No,"Yes, I discuss games with my closers",No,,,fun,"gameplay, new goals","No, I play for other purposes",excitement,Make the game more interesting,No,,,Well,,4,6-10 hours per week,I play games whenever I want,In the evening,"Action, Puzzle, Sports, Adventure",Neutral characters,"interesting, archetype, style, design"
179,06052023 11:13:09,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,Yes,Yes,"Можно запаковввать внутри игры знания, полезную информацию ",Yes,No,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,English,English,Yes,Не всегда могу быстро и точно передать то что хочу сказать на английском ,"Gta, poker",With someone,Alone,Chat,"PC, Mobile",Multiplayer,recommendations,personal interest,"No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",Yes,YAMB,,"fun, relaxation",gameplay,"No, I play for other purposes",excitement,Make the game more interesting,No,,,Well,Нейтрально ,5,1-5 hours per week,I play games whenever I want,In the evening,Strategy,Neutral characters,
180,06052023 11:13:44,16-19,Male ,Kazakh,Student,Higher professional education,Akmol region,,Yes,Yes,"Strategy, critical thinking ",Yes,Yes,Yes,"No, I have no trouble","Sometimes, but not often, once every few months",Yes,No,English,English,"No, I can safely play",,,Both,friends,Voice,PC,Both,"recommendations, Social media, reviews","Graphics, Storyline, Price, reviews","No, games don't affect our relationship",Positively,No,"Yes, I discuss games with my closers",Yes,AITU,Dota 2,"fun, relaxation","gameplay, improve skills","No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,,Well,,1,1-5 hours per week,I play games whenever I want,At night,"Action, Strategy",Kind characters,"interesting, abilities, biography"
181,06052023 11:16:41,36-44,Female ,Russian,Employed,Higher professional education,Pavlodar region,,Yes,Yes,"Логика, математика",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Alone,"Alone, family",Voice,"Console, Mobile",Singleplayer,"recommendations, Social media","Storyline, reviews, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, excitement",Can affect my mood in real life,No,,,Well,,1,1-5 hours per week,I play games whenever I want,In the evening,"Puzzle, Adventure, Simulation",Kind characters,"interesting, abilities"
182,06052023 11:20:35,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Unsure,No,No,I often have trouble sleeping,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,06052023 11:20:35,36-44,Female ,Korean,Unemployed,Higher professional education,Karaganda region,,No,Yes,,Unsure,No,No,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,06052023 11:20:58,36-44,Female ,Russian,Employed,"Second (third, etc) higher",Karaganda region,,No,Yes,,Yes,No,No,"No, I have no trouble","Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,06052023 11:25:57,36-44,Female ,Kazakh,Employed,Incomplete higher professional education,Karaganda region,,No,Yes,Программы,Yes,No,No,"No, I have no trouble",Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,06052023 11:27:01,26-35,Male ,Kazakh,Employed,Academic degree,Uzbekistan,Uzbekistan,No,Unsure,,Yes,Yes,Yes,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,06052023 11:32:41,16-19,Female ,Kazakh,Student,Initial professional,Italy,Italy,No,No,Нет,Unsure,Yes,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,06052023 11:33:18,26-35,Male ,Kazakh,Employed,Higher professional education,Karaganda region,,Yes,Yes,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Alone,family,Voice,PC,Singleplayer,Social media,Storyline,"No, games don't affect our relationship",Positively,No,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,,Well,,3,Less than 1 hour per week,I play games whenever I want,In the evening,"Action, Adventure",Neutral characters,interesting
189,06052023 11:34:33,16-19,Male ,Russian,Schoolkid,Average (full) general,Karaganda region,,Yes,Unsure,,Yes,No,Yes,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,Alone,Voice,PC,Multiplayer,Ads,personal interest,"No, games don't affect our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes","excitement, disappointment",Make the game more interesting,No,Positive,,Well,,3,1-5 hours per week,I play games whenever I want,In the afternoon,Strategy,Neutral characters,"abilities, style"
190,06052023 11:34:49,26-35,Female ,Kazakh,Employed,"Second (third, etc) higher",Karaganda region,,No,Yes,Язык,Yes,No,No,"No, I have no trouble","Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,06052023 11:36:38,16-19,Female ,Russian,Schoolkid,Initial general,Karaganda region,,Yes,Unsure,,Unsure,No,"No, but before yes",Sometimes there are small problems,"Quite often, every month or more often",No,No,Russian,Russian,"No, I can safely play",,,Both,Alone,Chat,"Console, Mobile",Both,"recommendations, Social media, Ads",personal interest,"No, games don't affect our relationship",Unsure,No,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Can affect my mood in real life,No,,,Well,,1,Less than 1 hour per week,I play games whenever I want,In the evening,"Adventure, Role-playing",Villains,"interesting, design"
192,06052023 11:36:57,26-35,Female ,Russian,Employed,Higher professional education,Karaganda region,,Yes,Yes,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,"friends, family",Voice,"Console, Mobile",Singleplayer,"recommendations, Ads","Graphics, Storyline, Price","No, games don't affect our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,relaxation,"gameplay, new goals","No, I play for other purposes","excitement, joy",Make the game more interesting,No,,,Well,,5,1-5 hours per week,I only play games on certain days,In the evening,"Action, Puzzle, Strategy, Adventure",Neutral characters,"abilities, biography, style"
193,06052023 11:38:51,51+,Female ,Uzbek,Unemployed,Initial professional,Uzbekistan,Uzbekistan,No,Unsure,,Yes,Yes,Yes,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,06052023 11:39:41,16-19,Female ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Yes,"Знание языка, если играть не на родном языке, стратегическое и аналитическое мышление, коммуникабельность, работа в команде",Yes,Yes,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",No,No,English,Russian,"No, I can safely play",,,Both,friends,Chat,"PC, Mobile",Both,"recommendations, Social media","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes","satisfaction, excitement, joy, disappointment, stress",Make the game more interesting,Yes,Positive,"удовлетворение от проведения времени с друзьями, восхищение сюжетом игры и графикой",Well,улучшение реакции и стратегического мышления,1,11-20 hours per week,I play games whenever I want,In the evening,"Action, Puzzle, Strategy, Adventure, Role-playing, Simulation",Neutral characters,"interesting, archetype, style, design"
195,06052023 11:40:29,45-50,Female ,Kazakh,Employed,Higher professional education,Atyrau region,,No,Unsure,,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,06052023 11:41:39,26-35,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Yes,Yes,No,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,06052023 11:46:20,16-19,Female ,Deutsch,Schoolkid,Average (full) general,Karaganda region,,Yes,Yes,"Развитие фокуса внимания, реакции, критического мышления ",Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,Russian,"No, I can safely play",-,-,Both,Alone,Chat,PC,Both,"recommendations, Social media","Graphics, Storyline, reviews, personal interest","Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,-,"fun, relaxation",gameplay,"No, I play for other purposes",satisfaction,Can affect my mood in real life,Yes,Negative,-,Well,-,8,Less than 1 hour per week,I play games whenever I want,In the evening,"Action, Adventure, Simulation",Neutral characters,abilities
198,06052023 11:47:30,12-15,Female ,Kazakh,Schoolkid,Basic General (incomplete secondary),Karaganda region,,No,Yes,работать сообща,Yes,No,Yes,Sometimes there are small problems,"Quite often, every month or more often",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,06052023 11:49:28,16-19,Male ,Kazakh,Student,Average (full) general,Akmol region,,Yes,Yes,"communication, logic",Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,With someone,friends,Voice,PC,Both,"recommendations, Social media, Ads","Graphics, Storyline, Price, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, friends",gameplay,"No, I play for other purposes",stress,"Can affect my game, lead to mistakes",No,,,Well,,3,Less than 1 hour per week,I play games whenever I want,In the evening,Action,Kind characters,"interesting, biography, archetype, style, design"
200,06052023 11:56:00,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Unsure,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,06052023 11:59:16,12-15,Female ,Kazakh,Schoolkid,Basic General (incomplete secondary),Karaganda region,,Yes,Yes,"Некоторые видеоигры могут помочь развивать навыки, такие как координация движений, реакция, аналитическое мышление, логическое мышление и т.д. Некоторые игры могут также помочь учиться сотрудничеству, коммуникации и разрешению конфликтов.",Yes,No,"No, but before yes",Sometimes there are small problems,"Quite often, every month or more often",No,No,English,Russian,"No, I can safely play",,,Both,"Alone, friends",Voice,"PC, Mobile",Both,"recommendations, Social media, Ads","Graphics, Storyline, personal interest","No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,"fun, friends, achieve","gameplay, improve skills","Yes, I play for the competition","satisfaction, joy, disappointment",Make the game more interesting,No,,,Badly,,5,1-5 hours per week,I play games whenever I want,In the evening,"Action, Sports, Adventure, Simulation",Kind characters,"biography, archetype, style, design"
202,06052023 12:00:38,36-44,Male ,Russian,Employed,"Second (third, etc) higher",Karaganda region,,Yes,Unsure,,Yes,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,Alone,Chat,PC,Singleplayer,recommendations,personal interest,"Yes, games worsen our relationship",Negatively,No,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",excitement,Make the game more interesting,No,,,Well,,2,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Strategy, Role-playing",Villains,interpersonal
203,06052023 12:03:18,36-44,Female ,Kazakh,Employed,Academic degree,Karaganda region,,No,Yes,Психологических ,Yes,No,No,Sometimes there are small problems,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,06052023 12:05:40,36-44,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Yes,Язык англ ,Yes,No,No,I often have trouble sleeping,"Sometimes, but not often, once every few months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,06052023 12:13:50,16-19,Male ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Yes,изучения языка,Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,friends,Voice,"PC, Mobile",Both,recommendations,"Price, reviews","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,,9,Less than 1 hour per week,I only play games on certain days,In the evening,"Action, Adventure",Neutral characters,"style, design"
206,06052023 12:14:56,20-25,Male ,Kazakh,Student,Average (full) general,Karaganda region,,Yes,Yes,,Yes,Yes,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Both,"Alone, friends",Voice,PC,Singleplayer,"recommendations, Social media","Graphics, Storyline, reviews, game publisher, personal interest","Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation","better than others, competition","No, I play for other purposes","satisfaction, stress",Can affect my mood in real life,Yes,Positive,,Badly,,10,1-5 hours per week,I only play games on certain days,In the evening,"Action, Adventure",Neutral characters,"motives, archetype"
207,06052023 12:18:05,26-35,Male ,Kazakh,Employed,Higher professional education,West-Kazakhstan region,,Yes,Yes,"Реакция, тимплей, дух победителя",Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,With someone,"Alone, friends, community",Chat,PC,Multiplayer,recommendations,"Graphics, Storyline","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,"fun, relaxation, friends","gameplay, improve skills","No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,,1,6-10 hours per week,I play games whenever I want,In the evening,Strategy,Neutral characters,abilities
208,06052023 12:28:22,26-35,Male ,Ingush,Employed,Higher professional education,Karaganda region,,Yes,Yes,"Стратегические, логические",Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,"friends, family",Voice,"Console, Mobile",Both,"recommendations, reviews","Graphics, Storyline","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,fun,"gameplay, new goals","No, I play for other purposes",excitement,Make the game more interesting,No,,,Badly,,5,Less than 1 hour per week,I play games whenever I want,In the evening,"Action, Sports, Adventure",Kind characters,motives
209,06052023 12:30:07,26-35,Female ,Kazakh,Employed,Higher professional education,Akmol region,,Yes,Yes,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,Both,friends,Chat,Mobile,Multiplayer,recommendations,Price,"Yes, games worsen our relationship",Negatively,No,"Yes, I discuss games with my closers",No,,,relaxation,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,No,Negative,,Badly,,5,Less than 1 hour per week,I play games whenever I want,In the afternoon,Puzzle,Kind characters,interesting
210,06052023 12:37:33,26-35,Female ,Russian,Employed,Academic degree,Karaganda region,,Yes,Yes,,Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,family,Chat,Mobile,Both,Social media,personal interest,"Yes, games improve our relationship",Positively,Yes,"Yes, I discuss games with my closers",No,,,achieve,new goals,"No, I play for other purposes",satisfaction,Make the game more interesting,No,,,Well,,3,Less than 1 hour per week,I play games whenever I want,In the evening,"Puzzle, Strategy",Neutral characters,interesting
211,06052023 12:51:33,51+,Female ,Kazakh,Employed,Higher professional education,Karaganda region,,No,Unsure,,Yes,No,No,Sometimes there are small problems,"Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,06052023 12:56:26,26-35,Male ,Kazakh,Employed,Higher professional education,Uzbekistan,Uzbekistan,Yes,Yes,"Память, риторика, моторика",Yes,Yes,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,"Alone, friends",Chat,PC,Multiplayer,"recommendations, Social media, Ads",personal interest,"No, games don't affect our relationship",Unsure,Yes,"No, I don't discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Can affect my mood in real life,No,Negative,,Badly,,1,Less than 1 hour per week,I play games whenever I want,At night,Strategy,Neutral characters,interesting
213,06052023 13:05:06,16-19,Male ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Yes,"Логика , скорость принятия наиболее выгодных решений",Yes,No,Yes,"No, I have no trouble","Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,With someone,"friends, community",Voice,PC,Both,"recommendations, Social media","Graphics, Storyline","No, games don't affect our relationship",Negatively,No,"No, I don't discuss games with my closers",Yes,,,fun,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,Yes,Negative,,Well,,3,11-20 hours per week,I only play games on certain days,In the morning,Strategy,Villains,motives
214,06052023 13:08:05,26-35,Male ,Kazakh,Employed,"Second (third, etc) higher",Karaganda region,,Yes,No,,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,Russian,Russian,"No, I can safely play",,,With someone,friends,Chat,PC,Multiplayer,recommendations,"Graphics, Storyline","No, games don't affect our relationship",No effect,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",satisfaction,Make the game more interesting,No,Positive,,Well,,1,Less than 1 hour per week,I play games whenever I want,At night,Strategy,Neutral characters,interesting
215,06052023 13:09:26,16-19,Female ,Kazakh,Student,Secondary vocational,Karaganda region,,Yes,Yes,умение быстро реагировать ,Yes,No,"No, but before yes",Sometimes there are small problems,"Rarely, once or twice a year",No,No,English,English,"No, I can safely play",,,Both,friends,Voice,PC,Both,recommendations,Storyline,"No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",No,,,fun,gameplay,"No, I play for other purposes",joy,Make the game more interesting,No,Positive,,Well,,1,1-5 hours per week,I play games whenever I want,In the afternoon,Adventure,Neutral characters,abilities
216,06052023 13:11:38,12-15,Female ,Kazakh,Schoolkid,Initial general,Akmol region,,Yes,Yes,,Yes,No,"No, but before yes",Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,Russian,Russian,"No, I can safely play",,,Both,"Alone, friends",Voice,"PC, Mobile",Singleplayer,"recommendations, Social media","reviews, personal interest","Yes, games improve our relationship",Unsure,No,"No, I don't discuss games with my closers",No,,,fun,gameplay,"Yes, I play for the competition",satisfaction,Make the game more interesting,No,,,Badly,,5,1-5 hours per week,I play games whenever I want,At night,"Puzzle, Role-playing",Neutral characters,"interesting, abilities"
217,06052023 13:13:59,16-19,Female ,Kazakh,Student,Incomplete higher professional education,Atyrau region,,Yes,Yes,"ловкость, стратегическое мышление, внимательность, скорость мышления",Yes,No,Yes,I often have trouble sleeping,"Sometimes, but not often, once every few months",Yes,No,English,Russian,"No, I can safely play",,,Alone,Alone,Chat,Mobile,Singleplayer,"recommendations, Social media, Ads, reviews","Graphics, Storyline, Price, reviews, personal interest","No, games don't affect our relationship",Unsure,No,"Yes, I discuss games with my closers",No,,,"fun, relaxation","gameplay, new goals","No, I play for other purposes","satisfaction, excitement, disappointment, stress",Can affect my mood in real life,No,,,Well,расслабляюсь после стресса в реальной жизни+,3,1-5 hours per week,I play games whenever I want,In the evening,"Action, Puzzle, Strategy, Simulation",Kind characters,"interesting, style, design"
218,06052023 13:20:20,16-19,Female ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Unsure,Не знаю ,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",Yes,No,Russian,Russian,"No, I can safely play",Нет,Нет,Both,friends,Chat,"PC, Mobile",Both,recommendations,"Graphics, Storyline, personal interest","No, games don't affect our relationship",No effect,Yes,"No, I don't discuss games with my closers",No,,Нет ,fun,gameplay,"Yes, I play for the competition",joy,Make the game more interesting,No,Positive,Нет,Well,Не знаю ,1,Less than 1 hour per week,I play games whenever I want,In the evening,"Action, Puzzle, Adventure",Kind characters,"interesting, motives"
219,06052023 13:22:44,16-19,Female ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Unsure,,Yes,No,Yes,Sometimes there are small problems,"Quite often, every month or more often",No,No,Russian,Russian,"No, I can safely play",,,Alone,Alone,Chat,Mobile,Singleplayer,Social media,Price,"No, games don't affect our relationship",Unsure,Yes,"Yes, I discuss games with my closers",Yes,,,reaction,better than others,"No, I play for other purposes","satisfaction, joy",Make the game more interesting,Yes,Positive,,Badly,,7,Less than 1 hour per week,I play games whenever I want,At night,"Sports, Adventure",Kind characters,"abilities, biography"
220,06052023 13:48:35,16-19,Male ,Kazakh,Schoolkid,Average (full) general,Karaganda region,,Yes,Yes,Логика,Yes,Yes,Yes,"No, I have no trouble","Rarely, once or twice a year",No,Yes,Russian,Kazakh,"No, I can safely play",Нет,Ни какой ,With someone,friends,Voice,"PC, Mobile",Multiplayer,recommendations,Graphics,"No, games don't affect our relationship",Positively,Yes,"Yes, I discuss games with my closers",Yes,,?,"fun, friends",new goals,"Yes, I play for the competition",excitement,Make the game more interesting,No,Negative,.,Well,.,10,More than 20 hours per week,I play games whenever I want,At night,"Action, Strategy, Simulation",Kind characters,"interesting, style"
221,06052023 14:32:55,36-44,Female ,Russian,Employed,Higher professional education,Karaganda region,,No,Yes,,Yes,No,No,"No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,06052023 17:08:48,20-25,Male ,Kazakh,Student,Incomplete higher professional education,Pavlodar region,,Yes,Yes,"Creativity, critical thinking ",Yes,No,Yes,Sometimes there are small problems,"Sometimes, but not often, once every few months",No,No,English,English,"No, I can safely play",,,Alone,Alone,Voice,"PC, Console, Mobile",Singleplayer,"recommendations, reviews, gaming websites","Storyline, reviews, game publisher, personal interest","No, games don't affect our relationship",No effect,No,"No, I don't discuss games with my closers",No,,,"fun, relaxation",gameplay,"No, I play for other purposes","satisfaction, excitement",Make the game more interesting,No,,,Well,,4,Less than 1 hour per week,I play games whenever I want,In the evening,"Action, Puzzle",Neutral characters,"interesting, motives, abilities, archetype"
223,06052023 17:42:01,36-44,Female ,Kazakh,Employed,Academic degree,Abai region,,No,Yes,Изучение языков,Yes,Yes,"No, but before yes","No, I have no trouble","Rarely, once or twice a year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
